trigger_name,name          ,lii     ,bii     ,trigger_type
bn120403857 ,GRB120403857  ,302.1752,-27.8569,GRB         
bn140912846 ,TGF140912846  ,302.3060,-28.0394,TGF         
bn120227725 ,GRB120227725  ,304.0768,-26.6216,GRB         
bn140630748 ,TGF140630748  ,301.3748,-26.4425,TGF         
bn141205018 ,GRB141205018  ,305.6055,-27.5957,GRB         
bn180630467 ,GRB180630467  ,301.2310,-29.1553,GRB         
bn170116238 ,GRB170116238  ,300.4000,-28.3874,GRB         
bn170909434 ,TGF170909434  ,301.0733,-29.8020,TGF         
bn100911473 ,TGF100911473  ,301.8748,-23.9343,TGF         
bn091026550 ,GRB091026550  ,307.2567,-26.6363,GRB         
bn150312403 ,GRB150312403  ,307.4271,-27.2402,GRB         
bn110520302 ,GRB110520302  ,298.9708,-29.2201,GRB         
bn121216419 ,GRB121216419  ,302.8366,-31.6875,GRB         
bn180724548 ,TGF180724548  ,298.7364,-24.0664,TGF         
bn160928471 ,LOCLPAR1609284,308.4159,-26.3992,LOCLPAR     
bn170416538 ,UNRELOC1704165,308.6440,-29.3502,UNCERT      
bn150419830 ,LOCLPAR1504198,306.3804,-22.1484,LOCLPAR     
bn121122832 ,LOCLPAR1211228,296.3417,-26.0844,LOCLPAR     
bn161210854 ,LOCLPAR1612108,296.2067,-27.7484,LOCLPAR     
bn130820401 ,TGF130820401  ,299.5670,-32.5426,TGF         
bn180513556 ,LOCLPAR1805135,300.5426,-21.1460,LOCLPAR     
bn101227195 ,GRB101227195  ,302.2043,-20.7126,GRB         
bn150909777 ,LOCLPAR1509097,301.2926,-33.9848,LOCLPAR     
bn110222659 ,UNCERT11022265,310.7748,-26.4454,UNCERT      
bn141021735 ,LOCLPAR1410217,308.6919,-32.0699,LOCLPAR     
bn140804347 ,TGF140804347  ,302.4653,-34.2503,TGF         
bn160326062 ,GRB160326062  ,302.2956,-19.8415,GRB         
bn160417486 ,LOCLPAR1604174,310.8531,-29.6760,LOCLPAR     
bn140704063 ,UNCERT14070406,302.6645,-34.6080,UNCERT      
bn160308812 ,DISTPAR1603088,296.6624,-21.9509,DISTPAR     
bn180417162 ,TGF180417162  ,311.2636,-24.3511,TGF         
bn170915837 ,LOCLPAR1709158,294.9953,-31.6015,LOCLPAR     
bn150829016 ,LOCLPAR1508290,302.6541,-18.4320,LOCLPAR     
bn101116481 ,GRB101116481  ,299.4039,-35.3974,GRB         
bn110926855 ,LOCLPAR1109268,307.5634,-35.1560,LOCLPAR     
bn130701943 ,LOCLPAR1307019,311.9647,-31.3806,LOCLPAR     
bn160311670 ,TGF160311670  ,294.3753,-22.1734,TGF         
bn150730606 ,LOCLPAR1507306,313.3717,-27.7475,LOCLPAR     
bn130210206 ,LOCLPAR1302102,312.0742,-31.9935,LOCLPAR     
bn150417845 ,LOCLPAR1504178,303.8138,-17.7803,LOCLPAR     
bn111121424 ,TGF111121424  ,313.3314,-25.6304,TGF         
bn150501596 ,LOCLPAR1505015,305.9108,-18.1033,LOCLPAR     
bn170130697 ,GRB170130697  ,313.5556,-28.9608,GRB         
bn110205027 ,GRB110205027  ,305.6188,-36.4127,GRB         
bn161014981 ,TGF161014981  ,305.4612,-17.6961,TGF         
bn110825265 ,GRB110825265  ,311.8442,-21.7660,GRB         
bn160919613 ,GRB160919613  ,313.1964,-23.9433,GRB         
